Rank,Company,Category,Full Description
50,Ripple,Cryptocurrency Services,"Ripple strives to increase global access and equity through building an inclusive, streamlined, sustainable financial system based on blockchain technology. The company employs nearly 800 people around the world and regularly partners with other fintechs, NGOs, universities, and social entrepreneurs to provide crypto liquidity, facilitate cross-border payments, and promote its cryptocurrency XRP as a central bank digital currency.

Ripple is well known for its commitments to ESG, having donated more than $150 million to improve banking equity since 2018. It most recently committed $100 million in funding to carbon markets and is on track to become carbon neutral by 2028.

"
51,Alkami Technology,Cloud Banking,"A leading provider of cloud-based digital banking solutions, Plano, Texas-headquartered Alkami Technology was founded in 2009 and is led by Chief Executive Officer Alex Shootman. The publicly-traded company provides services to U.S. financial institutions in retail and business banking, digital account opening, loan origination, and multi-payment fraud prevention solutions.

In 2021, Alkami was honored as a Best Company for Women, Best Company Culture, Best Career Growth, and Best Company Perks & Benefits in the large companies category by Comparably. The firm has a $1.26 billion market cap, and recently acquired Segmint, Inc, a financial data analytics company.

"
52,FINEOS,Insurance Software,"FINEOS is a global software company that provides modernized core systems for life, accident, and health insurers, serving seven of the 10 largest group life and health carriers in the U.S. as well as six of the largest life insurers in Australia.

The firm employs more than 700 people in offices spread throughout North America, Europe, and the Asia Pacific region and its stock is publicly traded on the Australian Securities Exchange. FINEOS is a co-sponsor of GroupTech Connect, a unique event that hosts a conversation around resolving the growing complexity of the Group Benefits insurance value chain.

"
53,Billtrust,Payment Cycle Management,"Founded in 2001 in Lawrenceville, New Jersey, Billtrust provides a payment cycle management program designed to automate every step in the order-to-cash process. The publicly-traded company employs more than 700 people and is led by Flint Lane, its Founder and Chief Executive Officer.

Billtrust has recently been on a streak of acquisitions, having purchased Amsterdam-based Order2Cash for $59.9 million and Belgium-based iController for $58 million in 2021, seeking to expand its presence in the European market, with plans for further purchases as opportunities arise. The company is projecting 2022 net revenues of between $165 and $171 million.

"
54,Abrigo,Banking Software,"Abrigo provides market-leading compliance and lending software solutions as well as advanced anti-money laundering and fraud detection platforms to the financial institutions market. The company was born in 2019 after Banker’s Toolbox acquired MainStreet Technologies and SageWorks and relaunched as Abrigo.

Led by Chief Executive Officer Wayne Roberts, the firm employs approximately 730 professionals. Abrigo was listed on American Banker’s 2022 “Best Place to Work in Financial Technology” list and is a regular participant in the Texas Advocacy Project’s “Backpacks For Hope” campaign, which provides backpacks and school supplies to children of domestic abuse survivors displaced from their homes.

"
55,Zero Hash,Digital-assets-as-a-service,"Zero Hash is a B2B embedded infrastructure platform that allows any platform to integrate digital assets natively into their own customer experience quickly and easily (a matter of API endpoints). Zero Hash enables developers and businesses to focus on building experiences and products.

The company's clients include MoneyLion, Step, Deserve, MoonPay, Transak, tastytrade, and DraftKings.  Zero Hash is backed by Point72 Ventures, NYCA, Bain Capital, and tastytrade.

"
56,Equisoft,Insurance Solutions,"Equisoft is a business-first technology solutions company focused on helping insurance and wealth management organizations reach their goals by utilizing advanced technology to streamline processes, improve planning, and leverage data to make better decisions, as well as offering consulting services.

The company boasts more than 750 employees spread across 8 international locations, serving more than 250 global clients. Led by Founder and Chief Executive Officer Luis Romero, Equisoft has over 25 years of experience in helping solve some of the industry’s toughest challenges. The company is a regular semifinalist to receive the WealthTech Service Provider of the Year Award.

"
57,wefox,Insurance Solutions,"The process of shopping for insurance coverage can often be complex and time-consuming. wefox is an independent insurance broker that leverages AI to help people seeking insurance quickly and easily find the coverage they need at a price they can afford.

The rapidly-growing company is the number one insurtech platform in all of Europe, employing more than 700 people and offering services across the continent and reporting revenues of $320 million in 2021. wefox most recently raised $400 million in a series D round of funding, giving it a valuation of $4.5 billion.

"
58,CURO Financial Technologies,Consumer Lending,"CURO Financial Technologies has spent 25 years providing services to the underbanked, offering full-spectrum consumer credit lending to U.S. and Canadian customers. The NYSE-listed CURO operates a number of brands in North America, including LendDirect, Flexiti, and Covington Credit.

The firm’s proprietary CuroScore system leverages alternative data to help mitigate risk and bring financial services to those who do not have access to traditional financial systems. In May, the company announced its plans to sell its legacy U.S. direct lending business to Community Choice Financial for $345 million, as well as to acquire First Heritage Credit for $140 million.

"
59,Onfido,Identity Verification,"Onfido offers a complete, AI-powered identity verification solution in the form of Onfido Real Identity Platform, helping customers reduce the cost of customer acquisition and onboarding, detect fraud, and comply with “Know Your Customer” regulations. Its Onfido Atlas™ AI powers the platform’s fully-automated, end-to-end identity verification.

The company was founded in 2012 by Husayn Kassai, Eamon Jubbawy, and Ruhul Amin, and employs more than 500 people around the world. It now helps more than 800 companies verify their users’ identities. Onfido was recently named a Representative Provider in the inaugural 2022 Gartner Innovation Insight: Journey-Time Orchestration Mitigates Fraud Risk and Delivers Better UX report.

"
60,Tradeshift,Payment Processing,"Founded in 2005 by Christian Lanng, Mikkel Hippe Brun, and Gert Sylvest at the request of the Danish National IT & Telecom Agency, Tradeshift’s goal is to connect every business in the world. Since then, the startup has grown to more than 800 people with offices in 13 countries, and offers a platform that digitizes and connects everything that happens between a buyer and a seller, anywhere in the world.

Tradeshift was listed on Fast Company’s World’s Most Innovative Companies for 2020 list and Forbes’ Fintech 50 2019, among many other awards received since its founding. In late 2021, the company raised an additional $200 million in funding.

"
61,Varo Money,Digital Banking,"While traditional banks leave a sizable portion of the population either unbanked or underbanked, Varo Money seeks to close that gap by offering digital banking services with low barriers to entry, empowering people to better manage their money.

Founded in 2015, Varo initially partnered with Bancorp Bank to provide services, and in 2020 went on to become the first consumer fintech to receive a national bank charter from the Office of the Comptroller of the Currency. The company’s founder and Chief Executive Officer Colin Walsh leads its mission to fight systemic financial inequality and bring access to banking services to all.

"
62,Hippo,Home Insurance,"Home insurer Hippo protects more than 200,000 homes in nearly every state, providing a proactive, forward-thinking approach to insurance that keeps safe the things that are most important to modern life. The company takes responsibility for managing every step of the insurance process from every angle, partnering with dozens of insurers and mortgage institutions to deliver customers smart home care services while simultaneously giving key support to lenders and agents.

Headquartered in Palo Alto and founded in 2015, Hippo is widely seen as a standout of the contemporary revolution in do-it-yourself home security and insurance.

"
63,Melio,Payment Processing,"While many small businesses start with little more than a dream and a plan, the reality of managing payments and cash flow can quickly complicate things. New York-based Melio was founded in 2018 by Matan Bar, Ilan Atias, and Ziv Paz to help small businesses better manage their interactions with other businesses by improving cash flow and streamlining invoicing and payments.

The startup partners with a number of large industry players, including Intuit, JPMorgan, and American Express. Melio maintains an R&D center in Tel Aviv and was listed in Forbes’ Fintech 50 2022.

"
64,Tink,Open Banking,"Tink is an open banking platform that lets its users connect to more than 3,400 European banks and institutions, obtaining enriched and categorized financial data through one API. The company was founded in 2012 and currently employs more than 500 people of over 40 different nationalities, serving 14 European markets out of 10 offices.

Its platform is used by more than 10,000 developers and processes more than 10 billion transactions per year. Tink was acquired by Visa in early 2022, and continues its mission to change the banking industry for the better by creating value out of financial data.

"
65,CIT Bank,Digital Banking,"CIT Bank was launched in 2008 by CIT, a financial institution with more than 100 years of experience in offering innovative financial solutions. CIT Bank offers digital banking services with competitive rates as well as a unique point-of-sales platform that simplifies and accelerates financing for small business purchases of $2,500 or more, taking customers from application to purchase in a matter of minutes.

The company won the 2021 FinTech Breakthrough Award for Business Leading Point-of-Sale Platform, and in early 2022 CIT completed a merger with First Citizens, placing it amongst the top 20 U.S. financial institutions with more than $100 billion in assets.

"
66,Advance Financial,Consumer Lending,"Nashville-based Advance Financial is a fintech company providing financial services in more than 100 stores in Tennessee and 24/7 digital loan services in 22 states. Specializing in line of credit loans, installment loans, check cashing, bill-pay services, and prepaid debit cards, the company has been recognized by Inc. 5000 as one of the fastest growing companies 8 years in a row.

The company was founded in 1996 and is the second-largest family-owned company headquartered in Nashville, employing more than 500. Advance Financial has served more than one million customers across its brick and mortar stores, website, and app.

"
67,Ethos,Life Insurance,"Data-driven life insurance platform Ethos is on a mission to redefine how consumers select and purchase the policies they need to take care of their families. Harnessing deep technology and data science, the company’s full-stack platform removes the road blocks that keep buyers from finding the right life insurance, issuing billions of dollars in coverage every month.

An honoree of Forbes’ Top 50 Fintechs list, Ethos’ business model has drawn considerable attention from top investors thanks to multiple home-run fundraising rounds totaling more than $400 million. Among its initiatives to help customers prepare for the future, Ethos conducted a critical survey this year illuminating how poorly prepared most Americans are for end-of-life preparations for their loved ones.

"
68,10x Banking,Cloud Banking,"With a mission to make banking 10x better, 10x Banking boasts the world’s most powerful cloud native banking platform, enabling client banks and financial services providers to offer their customers more timely and relevant digital experiences.

Founded in 2016 by Chief Executive Officer Antony Jenkins CBE, the company’s goal is to become the global banking core operating system of choice. 10x Banking won the Fintech Awards 2021 Best Next Generation Banking Platform (U.K.). In May 2022, the company announced a strategic partnership with Westpac to launch a market leading transaction banking platform for the bank’s institutional clients.

"
69,Mesh Payments,Payment Solutions,"Mesh Payments is on a mission to help finance teams automate, control and optimize their corporate spend, from T&E to SaaS subscriptions, and bring efficiencies to the entire CFO stack so companies can operate more nimbly, respond to changing market conditions and extend their runway. Mesh upended the stagnant corporate card market with its real-time, insights-driven corporate spend management platform. Mesh is purpose-built to save finance managers valuable time, automate manual processes that weigh down finance teams today and give CFOs the insights they need to better manage day-to-day financial operations.

"
70,Pie Insurance,Workers’ Compensation Insurance,"Workplace injuries are often an unfortunate reality of business ownership, and having appropriate workers compensation insurance can be crucial to the wellbeing of any small business. Pie Insurance provides workers compensation insurance directly to small businesses, as well as partnering with local, regional, and national insurance agencies to provide coverage to their clients.

Founded in 2017 by Dax Craig and John Swigart, Pie Insurance covers businesses in 38 states across a variety of industries. The startup was named #7 in Inc. Magazine’s Fastest Growing Company in the Mid-Atlantic and raised $118 million in Series C funding in early 2021.

"
71,SoftClub,Banking Software,"SoftClub is one of the leading vendors of integrated solutions for fintechs, eCommerce, banks, public bodies, and stock exchanges in Eastern Europe and Central Asia. The company is an expert in digital transformation and legacy systems modernization, helping its clients to respond to changing customer demands. More than 1,500 corporate clients in 24 countries use SoftClub’s software.

SoftClub has developed more than 50 proprietary software products, including ICO and сrypto platforms, online and mobile banking, trading and treasury management solutions, CRM systems, сore banking software, EDI Platform, KYC & AML Compliance Software, and many other applications. The company’s operations span across EECA, EU countries, and the U.S.

With 28 years of experience, SoftClub has one of the most qualified software engineering teams, with more than 1,000 employees, a strong management team, and deep cross-sectoral knowledge. Additionally, SoftClub has substantial expertise in Creatio, supported by around 190 of the company’s engineers. Creatio is the low-code platform for process management and CRM, and it has been ranked one of the market leading products in sales automation by Gartner Magic Quadrant for three years in a row.

"
72,Kabbage from American Express,Business Lending,"Kabbage from American Express is an online financial technology company based in Atlanta, Georgia, providing funding directly to small businesses and consumers through an automated lending platform. Founded in 2009, Kabbage has innovated a data and technology platform to provide small businesses with automated cash flow solutions, including business checking accounts, online payments, business insights, and flexible lines of credit up to $250,000.

Kabbage uses real-time data and automation to provide an integrated suite of financial tools empowering small businesses to spend less time on their books and more time on building thriving businesses. The company was acquired by American Express in 2020.

"
73,Matic,Property and Casualty Insurance,"Matic is a P&C insurance technology platform that combines a digital marketplace with an agency of licensed advisors. With a mission to simplify their customers’ world of insurance, Matic offers a variety of property and casualty insurance products to protect consumers’ personal assets—including homeowners, auto, pet, umbrella, flood, earthquake, RV, and more.

Founded in 2014, Matic (short for automatic) has changed the landscape of the insurtech industry by trailblazing the concept of “embedded insurance,” creating a buying process that fits naturally into the home and auto ownership experiences. Today, Matic’s unbiased insurance platform has more than 40 A-rated home and auto carriers, as well as distribution partners in industries ranging from mortgage origination and servicing to banking, real estate, auto companies, and more. Matic has been a TechCrunch Disrupt Startup Battlefield finalist and has been recognized as a Business First Best Place to Work and a HousingWire Tech100 Mortgage Winner for four consecutive years.

"
74,Finix,Payment Processing,"From startups to publicly traded companies, Finix offers everything software platforms need to build a world-class payments experience. Leading SaaS, marketplace, and e-commerce platforms (i.e. providers serving restaurants, yoga studios, small retailers, etc.) use Finix’s API and dashboard to accept payments quickly, eliminate manual workflows, delight customers, and grow revenue fast.

Moving money is a fundamental human activity and critical to the health of our global economy. However, innovation from established financial services providers has failed to keep pace with the needs of SaaS platforms and their users. Since its founding in 2015, Finix has been rewriting the financial services industry one API at a time to lower barriers to entry, drive competition, and make the financial system more equitable and accessible for people around the world.

"
75,Sure,Insurance Solutions,"Founded in 2015, Sure is the fastest-growing insurtech company in the industry, with an enterprise SaaS infrastructure and embedded insurance programs that are built to drive the insurance industry in an online era. Backed by a team of insurance experts, Sure’s proprietary platform provides best-in-class technology for rating, quote and binding, policy issuance, premium collection, CRM policy administration, reporting, and more.

The company’s customers leverage its cohesive system of APIs to streamline the end-to-end insurance life cycle, resulting in better customer experiences supported by efficient digital operations. It is headquartered in Santa Monica, California and has offices across the globe.

"
76,"LendKey Technologies, Inc.",Consumer Lending,"Founded in 2009 as Fynanz, LendKey Technologies, Inc. is a lending platform and online marketplace that allows consumers to apply for and receive private student loans, student loan refinancing, and home improvement loans from their local institutions. LendKey’s cloud-based tools and infrastructure enable the nation's 13,000-plus community financial institutions to enter online lending and offer loans for various asset classes.

With headquarters in New York City with offices in Cincinnati, Ohio, the company is at the center of the lending ecosystem, providing institutional investors, banks, credit unions, affiliates, and borrowers with transparency, access, efficiency, and speed.

"
77,Secfi,Equity Planning,"Secfi is trusted by thousands of startup employees for equity planning and financing. They are the first to provide a proprietary suite of equity planning tools, 1:1 guidance with licensed equity strategists, and a set of financing products that enable employees to own a stake in the company they helped build. Secfi also provides company-wide education for startups at all stages to help their teams make the best decision for their own situations. Currently, Secfi has worked with employees from more than 80% of all U.S. unicorns.

"
78,CAIS,Alternative Investments,"Founded in 2009, CAIS is the leading alternative investment platform for financial advisors who seek improved access to and education about alternative investment funds and products. CAIS provides financial advisors with a broad selection of alternative investment strategies including hedge funds, private equity, private credit, real estate, and structured notes, allowing them to capitalize on opportunities and/or withstand ever-changing markets. Additionally, CAIS provides an industry-leading learning system, CAIS IQ, that helps advisors learn faster, remember longer, and improve client outcomes.

All funds listed on CAIS undergo Mercer’s independent due diligence and ongoing monitoring, and Mercer diligence reports and fund ratings are available to advisors on the CAIS password-protected platform. CAIS streamlines the end-to-end transaction process through digital subscriptions and integrated reporting with Fidelity, Schwab, and Pershing, making investing in alternatives simple.

"
79,Docupace,Wealth Management Solutions,"Founded in 2002, Docupace is a technology company built for the financial services industry. The company is a leading digital operations technology provider that simplifies how wealth management firms process and digitize data while also increasing efficiency, productivity, and profits.

With the secure, cloud-based Docupace Platform, the company provides a suite of digital solutions that helps broker-dealers, RIAs, and their advisors streamline and automate client onboarding, document management, advisor transitions, Regulation BI, cybersecurity, and other critical workflows while maintaining SEC and FINRA compliance. The company is headquartered in Los Angeles and serves a variety of firms, including some of the largest in the financial services industry.

"
80,iBusiness Funding,Business Lending,"iBusiness Funding is a software and lender service provider specializing in SBA Small Balance Lending. Its software, technology, and process enable it to support loans from $10,000 to $5 million, and its technology solutions have been proven to quickly scale its clients’ portfolios without the overhead. Its self-service lending origination software, LenderAI, boasts no implementation fees, free and instant setup, a digital borrower application and documentation, and is SOC 2 compliant.

iBusiness Funding’s goal is to provide the underserved small business community with fast access to working capital through the use of technology and innovation. It was founded in 2013 and is headquartered in Miami Beach, Florida with offices in San Francisco and Bangalore.

"
81,Spiff,Commission Management,"Spiff is a leading sales compensation platform that automates commission calculations and motivates teams to drive top-line performance in high-growth businesses by delivering real-time data and providing transparency for sales teams. Founded in 2017 by Chief Executive Officer Jeron Paul, the Sandy, Utah-headquartered company employs 260 technology professionals across all of its locations.

Spiff was recognized by TrustRadius with two 2022 Top-Rated Awards, in the Sales Incentive Compensation Management and Sales Performance Management categories, and was also listed by Fast Company as one of the world’s 50 most innovative companies.

"
82,Immediate,Payment Processing,"Immediate helps businesses recruit, retain, and engage employees in a rapidly changing job market by providing on-demand pay solutions. Employees need cash flow in between historical two-week pay cycles. Often, their only options are high-interest credit cards and predatory loans. Immediate offers a financial alternative.

For a $3 fee, Immediate unlocks up to 50% of an employee’s earned wages just after the day is finished. Immediate eases employee stress while improving their financial wellness and increasing their company loyalty.

"
83,Asset-Map,Wealth Management Solutions,"Asset-Map is a Software-as-a-Process experience for financial professionals who provide in-person and remote advice in the wealth management, investment, and insurance markets. Typically included as part of the financial planning engagement process, Asset-Map centers around the digital visualization of household facts to build highly customized, design-thinking presentations in minutes that help advisors and their customers make better financial decisions. Asset-Map is used by thousands of professionals worldwide, having mapped more than 1 million people and $1.4 trillion in financial instruments.

"
84,Financeit,Point-of-Sale Financing,"Financeit is a market-leading point-of-sale financing provider servicing the home improvement, vehicle, and retail industries. Financeit’s innovative cloud-based technology makes it easy for merchants to increase close rates and transaction sizes with affordable monthly or bi-weekly payment plans. The Financeit platform features a fast, transparent application process and has serviced more than 9,000 merchant partners across Canada, with over $2 billion in lifetime originations.

"
85,Propel(x),Alternative Investments,"Propel(x) is a digital alternative investment platform that enables accredited investors to invest in startups, venture capital funds, and hedge funds. Their customers range from individual accredited investors writing checks as small as $5,000 to some of the largest family offices and funds writing checks of a million dollars or more.

Backed by Franklin Templeton, investors in Propel(x)’s portfolio startups include BlackRock, QED, Khosla Ventures, Founders Fund, Draper Fisher Jurvetson, and Data Collective Ventures. Propel(x) portfolio companies have cumulatively raised over $2 billion from the Propel(x) platform and other sources. The average amount invested per investor was over $73,000 in 2021.

"
86,Hometap,Home Equity Financing,"In a system in which homeowners’ equity in their place of residence is traditionally locked away for decades at a time, Boston financial services company Hometap offers the opportunity to access that funding for critical life expenditures. Using a unique loan structure powered by the latest financial technology, the company allows homeowners to use their equity immediately and manage their money with unprecedented control and convenience.

Hometap has been changing the game for homeowners since its inception in 2017. In recent years, it has been hailed by industry voices for its visionary leadership and revolutionary business model.

"
87,"FinTech Automation, LLC",Wealth Management Solutions,"FinTech Automation (FTA) is a Dallas, Texas-based financial technology company dedicated to building a fully digital financial experience with little to no code. The FTA UniFi Platform is the foundational component—or building blocks—to help its clients drive innovation and business growth without worrying about the technology that supports it. The UniFi platform offers banking, payments, compliance, and wealth management Software-as-a-Service applications, which are integrated with over 40 partners to offer analytics, databases, open banking, tools for application development, artificial intelligence, machine learning, and robotic process automation.

Since its inception, FTA’s vision has been to simplify very complicated processes for its clients. FTA has become a leading-edge technology firm that is transforming the wealthtech, fintech, and Banking-as-a-Service (BaaS) verticals in the financial services industry. FTA has created solutions that can automate most administrative activities, integrate industry specific enabling technology, and provide unparalleled support for management with instant data and dashboards.

In 2020, FTA launched its open banking payments platform that is transforming the way businesses are able to process transactions. Using specialized compliance technology, the platform provides security along with critical compliance oversight and anti-money laundering safeguards.

"
88,Credibly,Business Lending,"Michigan-based small business lender Credibly has positioned itself as top provider of financial services to more than 67,000 small businesses across the country. With a diverse array of lending offerings, including working capital loans, merchant cash advances, and business lines of credit, the company synthesizes the latest in data science with award-winning customer support to give small businesses the resources they need to flourish.

Credibly was founded in 2010 and has been recognized by Inc., Crain, and the Fintech Breakthrough Awards as a standout name in small business lending. This year, having issued over $2 billion in financing over its lifetime, it released expanded offerings in corporate note refinancing to great acclaim.

"
89,Gradguard,Education Insurance,"The cost associated with a college education may be the largest expenditure facing families today; more than one million families have looked to Phoenix insurance provider Gradguard to protect that investment from unforeseen circumstances. With its stellar tuition and renters insurance offerings specifically tailored to university students and their families, it affords unmatched financial protection in the event of serious illness or other emergencies.

Gradguard has forged partnerships with more than 400 institutions of higher learning in the 13 years since it was founded. A subsidiary of Next Generation Insurance Group, its popular products are used by organizations that work with more than 20 million students across the nation.

"
90,Finitive,Credit Investment Marketplace,"As the top tech-forward private credit marketplace in the industry, Finitive offers clients an unmatched financial platform featuring a multi-trillion-dollar credit investment marketplace. With more than one thousand institutional investors and $3.5 billion in capital commitments, the New York-based company’s intelligent credit marketplace boasts opportunities across a wide array of asset classes and financial solutions.

In response to the ongoing digital transformation of the credit industry, Finitive has recently released new direct lending asset classes and revenue-based loans tailored to the specific needs of fintechs. Last November, it announced a new $51 million patent litigation program.

"
91,Expansion Capital Group,Working Capital Solutions,"Business owners in need of working capital financing can do no better than engaging the services of Expansion Capital Group, a South Dakota financial services company specializing in providing the expansion capital that modern entrepreneurs need. It has partnered with more than 14,000 small businesses, issuing over $400 million in working capital through its expansive financing offerings.

In keeping with its reputation as a trusted partner to business owners, Expansion Capital Group has been named one of the best places to work in fintech several years in a row, including this year.

"
92,Fundbox,Working Capital Solutions,"Fundbox is a leading provider of working capital, using technology to help small businesses optimize cash flow. Founded in 2013, the company has helped unlock over $3 billion in capital and connected to more than half a million businesses. In addition to offering working capital and spend management solutions, the company provides a platform for embedded finance, enabling partners to offer the same services to their own small business customers.

Led by Chief Executive Officer Prashant Fuloria, Fundbox was listed in Forbes’ 2022 America’s Best Startup Employers and raised $100 million in a Series D round with a valuation of $1.1 billion.

"
93,Paga,Mobile Payment Processing,"Paga is a London-based mobile payment company building an ecosystem to simplify financial access for its users, enabling them to send and receive money, as well as pay bills and top up mobile airtime and data.

Founded in early 2009 by Tayo Oviosu, the startup is helping eliminate the use of cash for transactions and providing access to financial services for people across Africa. The company’s first market was Nigeria, where it serves more than 19 million unique users. In 2020, Paga entered into a partnership with Visa to expand its reach to Visa’s global payments network.

"
94,Papara,Digital Banking,"One of Turkey’s largest fintech companies, Papara has grown to 14 million domestic users since its 2016 founding by Ahmed Karsli. The company provides digital banking services that enable users to send money, pay bills, and manage budgets, and offers a debit card that is usable all over the world.

Papara allows its users to enjoy the best of both worlds, offering the simplicity of a debit card with the rewards of a credit card. The company has also partnered with BlindLock to help improve access to financial services for the visually impaired, and recently acquired social startup Yuvarla in early July.

"
95,Bakkt,Digital Asset Management,"Bakkt was founded in 2018 as a subsidiary of Intercontinental Exchange, Inc., the parent organization of the New York Stock Exchange. The company operates a technology platform for the management and conversion of digital assets, including cryptocurrencies, loyalty and rewards points, airline miles, and gift cards, as well as a cryptocurrency exchange and wallet.

Led by Chief Executive Officer Gavin Michael, the Alpharetta, Georgia-headquartered company employs more than 600 people. Bakkt has partnered with companies such as Starbucks and Wyndham Hotels to enable the conversion of digital assets to and from rewards points within its ecosystem.

"
96,Prime Trust,Digital Financial Infrastructure,"Serving customers across the United States, Prime Trust operates as a technology-driven trust company, providing an API that offers token and FIAT custody, funds processing, anti-money laundering and know your customer compliance, and transaction technology services. Its technology has been integrated into more than 500 platforms generating 300 million API calls per month, and transacts and settles $2.5 billion per month.

Prime Trust employs more than 300 people and most recently raised over $100 million in Series B funding to expand into new cryptocurrency offerings, enhance its ability to support tokenized products, and increase the stability and security of its platform.

"
97,New Access,Wealth Management,"Founded in 2000, New Access SA has provided agile and scalable Core-to-Digital solutions dedicated to private banks and wealth and asset managers, helping bankers and wealth managers connect conveniently and efficiently with their clients anytime and anywhere.

Employing more than 200 people with clients in 18 countries worldwide, the firm offers more than two decades of experience in financial institution digital transformation, with services ranging from client lifecycle management to portfolio management. Led by Chief Executive Officer Vincent Jeunet, New Access was recently acquired by FNZ, the global wealth management platform, as part of its investment strategy into the private banking and cross-border wealth sector.

"
98,Nymbus,Banking Technology Solutions,"Founded in 2015, Nymbus is a leading provider of banking technology solutions, including a banking-as-a-service platform. Nymbus enables banks, brands, and fintechs of any size to accelerate growth through new routes to market. This includes a full suite of banking technology applications available to modernize and optimize existing channels, as well as the operational resources to get to market quickly with a full-scale digital brand.

In 2021, Nymbus completed a $53 million financing round led by existing investor Insight Partners. The company plans to use the latest funds to empower financial institutions with expanded access to its unique GROW model, which creates new digital revenue streams for banks and credit unions.

"
99,Sentieo,Financial Intelligence,"Sentieo, an AlphaSense company, provides the first financial intelligence platform specifically designed for the research needs of investors. Sentieo’s AI-powered financial search engine aggregates internal and external content into a single shared workspace for a more efficient research process.

More than 1,100 global customers, including 800 institutional investment firms and Fortune 500 companies, use its platform to surface, visualize, and share the insights that give them an edge. Founded in 2012, Sentieo is the recipient of many industry awards, such as inclusion on Deloitte’s 2021 Technology Fast 500 list and winning Best Research Management Solution in the HFM European Technology Awards 2021.

"
100,ARCA,Banking Technology Solutions,"Since 1998, ARCA has been a global leader in developing cash automation technology for banks, retail locations, and self-service kiosks. The company’s overriding drive is to develop technology and services that make transactions simpler, more efficient, and more secure. It provides this technology to financial institutions, retail clients, and original equipment manufacturers, assisting with everything from installation and project management to live help desk support and ARCA Care monitoring.

With corporate headquarters in North Carolina, the company has worldwide offices in Italy, France, and the U.K. with customers in more than 50 countries. It also boasts accolades such as inclusion on the IDC Financial Insights Fintech Ranking Top 100.

"
